,postcode,biomass,coal,imports,gas,nuclear,other,hydro,solar,wind
2349,SY1,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2350,SY10,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2351,SY11,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2352,SY12,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2353,SY13,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2354,SY14,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2355,SY15,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2356,SY16,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2357,SY17,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2358,SY18,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2359,SY19,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2360,SY2,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2361,SY20,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2362,SY21,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2363,SY22,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2364,SY23,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2365,SY24,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2366,SY25,0.0,0,0.0,72.4,0.0,0,0.0,2.0,25.7
2367,SY3,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2368,SY4,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2369,SY5,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2370,SY6,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2371,SY7,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2372,SY8,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2373,SY9,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2374,TA1,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2375,TA10,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2376,TA11,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2377,TA12,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2378,TA13,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2379,TA14,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2380,TA15,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2381,TA16,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2382,TA17,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2383,TA18,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2384,TA19,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2385,TA2,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2386,TA20,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2387,TA21,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2388,TA22,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2389,TA23,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2390,TA24,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2391,TA3,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2392,TA4,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2393,TA5,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2394,TA6,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2395,TA7,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2396,TA8,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2397,TA9,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2398,TD1,1.2,0,0.0,0.0,27.6,0,0.0,0.7,70.5
2399,TD10,1.2,0,0.0,0.0,27.6,0,0.0,0.7,70.5
2400,TD11,1.2,0,0.0,0.0,27.6,0,0.0,0.7,70.5
2401,TD12,1.2,0,0.0,0.0,27.6,0,0.0,0.7,70.5
2402,TD13,1.2,0,0.0,0.0,27.6,0,0.0,0.7,70.5
2403,TD14,1.2,0,0.0,0.0,27.6,0,0.0,0.7,70.5
2404,TD15,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2405,TD2,1.2,0,0.0,0.0,27.6,0,0.0,0.7,70.5
2406,TD3,1.2,0,0.0,0.0,27.6,0,0.0,0.7,70.5
2407,TD4,1.2,0,0.0,0.0,27.6,0,0.0,0.7,70.5
2408,TD5,1.2,0,0.0,0.0,27.6,0,0.0,0.7,70.5
2409,TD6,1.2,0,0.0,0.0,27.6,0,0.0,0.7,70.5
2410,TD7,1.2,0,0.0,0.0,27.6,0,0.0,0.7,70.5
2411,TD8,1.2,0,0.0,0.0,27.6,0,0.0,0.7,70.5
2412,TD9,1.2,0,0.0,0.0,27.6,0,0.0,0.7,70.5
2413,TF1,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2414,TF10,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2415,TF11,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2416,TF12,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2417,TF13,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2418,TF2,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2419,TF3,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2420,TF4,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2421,TF5,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2422,TF6,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2423,TF7,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2424,TF8,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2425,TF9,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2426,TN1,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2427,TN10,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2428,TN11,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2429,TN12,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2430,TN13,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2431,TN14,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2432,TN15,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2433,TN16,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2434,TN17,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2435,TN18,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2436,TN19,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2437,TN2,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2438,TN20,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2439,TN21,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2440,TN22,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2441,TN23,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2442,TN24,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2443,TN25,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2444,TN26,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2445,TN27,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2446,TN28,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2447,TN29,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2448,TN3,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2449,TN30,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2450,TN31,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2451,TN32,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2452,TN33,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2453,TN34,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2454,TN35,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2455,TN36,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2456,TN37,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2457,TN38,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2458,TN39,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2459,TN4,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2460,TN40,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2461,TN5,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2462,TN6,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2463,TN7,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2464,TN8,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2465,TN9,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2466,TQ1,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2467,TQ10,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2468,TQ11,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2469,TQ12,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2470,TQ13,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2471,TQ14,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2472,TQ2,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2473,TQ3,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2474,TQ4,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2475,TQ5,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2476,TQ6,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2477,TQ7,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2478,TQ8,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2479,TQ9,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2480,TR1,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2481,TR10,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2482,TR11,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2483,TR12,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2484,TR13,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2485,TR14,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2486,TR15,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2487,TR16,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2488,TR17,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2489,TR18,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2490,TR19,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2491,TR2,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2492,TR20,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2493,TR21,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2494,TR22,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2495,TR23,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2496,TR24,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2497,TR25,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2498,TR26,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2499,TR27,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2500,TR3,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2501,TR4,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2502,TR5,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2503,TR6,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2504,TR7,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2505,TR8,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2506,TR9,2.5,0,4.7,38.0,0.6,0,0.0,24.0,30.2
2507,TS1,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2508,TS10,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2509,TS11,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2510,TS12,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2511,TS13,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2512,TS14,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2513,TS15,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2514,TS16,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2515,TS17,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2516,TS18,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2517,TS19,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2518,TS2,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2519,TS20,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2520,TS21,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2521,TS22,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2522,TS23,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2523,TS24,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2524,TS25,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2525,TS26,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2526,TS27,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2527,TS28,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2528,TS29,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2529,TS3,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2530,TS4,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2531,TS5,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2532,TS6,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2533,TS7,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2534,TS8,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2535,TS9,17.5,0,63.9,0.0,1.0,0,0.0,1.3,16.2
2536,TW1,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2537,TW10,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2538,TW11,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2539,TW12,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2540,TW13,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2541,TW14,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2542,TW15,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2543,TW16,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2544,TW17,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2545,TW18,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2546,TW19,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2547,TW2,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2548,TW20,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2549,TW3,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2550,TW4,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2551,TW5,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2552,TW7,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2553,TW8,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2554,TW9,0.0,0,47.1,26.2,0.0,0,0.2,3.7,22.7
2555,UB1,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2556,UB10,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2557,UB2,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2558,UB3,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2559,UB4,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2560,UB5,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2561,UB6,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2562,UB7,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2563,UB8,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2564,UB9,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2565,W10,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2566,W11,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2567,W12,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2568,W13,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2569,W14,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2570,W1B,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2571,W1C,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2572,W1D,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2573,W1F,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2574,W1G,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2575,W1H,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2576,W1J,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2577,W1K,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2578,W1M,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2579,W1N,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2580,W1P,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2581,W1R,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2582,W1S,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2583,W1T,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2584,W1U,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2585,W1W,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2586,W1Y,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2587,W2,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2588,W3,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2589,W4,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2590,W5,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2591,W6,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2592,W7,6.7,0,12.9,46.1,1.6,0,0.1,8.4,24.2
2593,W8,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2594,W9,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2595,WA1,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2596,WA10,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2597,WA11,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2598,WA12,3.2,0,6.9,8.6,25.5,0,0.0,0.5,55.3
2599,WA13,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2600,WA14,3.2,0,6.9,8.6,25.5,0,0.0,0.5,55.3
2601,WA15,3.2,0,6.9,8.6,25.5,0,0.0,0.5,55.3
2602,WA16,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2603,WA2,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2604,WA3,3.2,0,6.9,8.6,25.5,0,0.0,0.5,55.3
2605,WA4,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2606,WA5,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2607,WA6,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2608,WA7,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2609,WA8,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2610,WA9,1.0,0,1.8,11.5,10.2,0,0.0,2.9,72.6
2611,WC1A,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2612,WC1B,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2613,WC1E,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2614,WC1H,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2615,WC1N,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2616,WC1R,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2617,WC1V,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2618,WC1X,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2619,WC2A,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2620,WC2B,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2621,WC2E,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2622,WC2H,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2623,WC2N,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2624,WC2R,0.3,0,27.4,19.7,8.3,0,0.1,4.6,39.6
2625,WD17,0.7,0,2.0,12.0,18.0,0,0.0,5.9,61.3
2626,WD18,0.7,0,2.0,12.0,18.0,0,0.0,5.9,61.3
2627,WD19,0.7,0,2.0,12.0,18.0,0,0.0,5.9,61.3
2628,WD2,0.7,0,2.0,12.0,18.0,0,0.0,5.9,61.3
2629,WD23,0.7,0,2.0,12.0,18.0,0,0.0,5.9,61.3
2630,WD24,0.7,0,2.0,12.0,18.0,0,0.0,5.9,61.3
2631,WD25,0.7,0,2.0,12.0,18.0,0,0.0,5.9,61.3
2632,WD3,0.7,0,2.0,12.0,18.0,0,0.0,5.9,61.3
2633,WD4,0.7,0,2.0,12.0,18.0,0,0.0,5.9,61.3
2634,WD5,0.7,0,2.0,12.0,18.0,0,0.0,5.9,61.3
2635,WD6,0.7,0,2.0,12.0,18.0,0,0.0,5.9,61.3
2636,WD7,0.7,0,2.0,12.0,18.0,0,0.0,5.9,61.3
2637,WF1,43.2,0,2.9,18.3,0.0,0,0.0,0.6,34.9
2638,WF10,43.2,0,2.9,18.3,0.0,0,0.0,0.6,34.9
2639,WF11,43.2,0,2.9,18.3,0.0,0,0.0,0.6,34.9
2640,WF12,43.2,0,2.9,18.3,0.0,0,0.0,0.6,34.9
2641,WF13,43.2,0,2.9,18.3,0.0,0,0.0,0.6,34.9
2642,WF14,43.2,0,2.9,18.3,0.0,0,0.0,0.6,34.9
2643,WF15,43.2,0,2.9,18.3,0.0,0,0.0,0.6,34.9
2644,WF16,43.2,0,2.9,18.3,0.0,0,0.0,0.6,34.9
2645,WF17,43.2,0,2.9,18.3,0.0,0,0.0,0.6,34.9
2646,WF2,43.2,0,2.9,18.3,0.0,0,0.0,0.6,34.9
2647,WF3,43.2,0,2.9,18.3,0.0,0,0.0,0.6,34.9
2648,WF4,43.2,0,2.9,18.3,0.0,0,0.0,0.6,34.9
2649,WF5,43.2,0,2.9,18.3,0.0,0,0.0,0.6,34.9
2650,WF6,43.2,0,2.9,18.3,0.0,0,0.0,0.6,34.9
2651,WF7,43.2,0,2.9,18.3,0.0,0,0.0,0.6,34.9
2652,WF8,43.2,0,2.9,18.3,0.0,0,0.0,0.6,34.9
2653,WF9,43.2,0,2.9,18.3,0.0,0,0.0,0.6,34.9
2654,WN1,3.2,0,6.9,8.6,25.5,0,0.0,0.5,55.3
2655,WN2,3.2,0,6.9,8.6,25.5,0,0.0,0.5,55.3
2656,WN3,3.2,0,6.9,8.6,25.5,0,0.0,0.5,55.3
2657,WN4,3.2,0,6.9,8.6,25.5,0,0.0,0.5,55.3
2658,WN5,3.2,0,6.9,8.6,25.5,0,0.0,0.5,55.3
2659,WN6,3.2,0,6.9,8.6,25.5,0,0.0,0.5,55.3
2660,WN7,3.2,0,6.9,8.6,25.5,0,0.0,0.5,55.3
2661,WN8,3.2,0,6.9,8.6,25.5,0,0.0,0.5,55.3
2662,WR1,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2663,WR10,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2664,WR11,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2665,WR12,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2666,WR13,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2667,WR14,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2668,WR15,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2669,WR2,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2670,WR3,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2671,WR4,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2672,WR5,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2673,WR6,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2674,WR7,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2675,WR8,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2676,WR9,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2677,WS1,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2678,WS10,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2679,WS11,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2680,WS12,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2681,WS13,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2682,WS14,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2683,WS15,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2684,WS2,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2685,WS3,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2686,WS4,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2687,WS5,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2688,WS6,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2689,WS7,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2690,WS8,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2691,WS9,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2692,WV1,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2693,WV10,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2694,WV11,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2695,WV12,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2696,WV13,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2697,WV14,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2698,WV15,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2699,WV16,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2700,WV2,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2701,WV3,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2702,WV4,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2703,WV5,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2704,WV6,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
2705,WV7,5.3,0,3.1,27.2,11.4,0,0.0,2.6,50.4
